Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
Urticaria (nældefeber) 		Allergiske sygdomme 	En anfaldsvis optrædende kløende hudsygdom, der viser sig ved pletvise røde, sammenflydende hudforandringer. Kan optræde akut eller kronisk. 	Rammer ca. 15% af befolkningen i løbet af et liv. 	Skyldes histaminfrigørelse fra hudens mastceller, hvilket medfører histaminudløste reaktioner. 	Akut urticaria kan skyldes arvelige årsager eller eksterne årsager såsom kulde, varme, sved, kemiske lægemidler, toksiner fra planter og dyr, allergi ved fødevarer, lægemidler, insekter. 	Aku urticaria viser sig som flygtige og kløende plamager på huden, hvorpå de fleste forsvinder hurtigt ved symptomatisk behandling med antihistaminer. Ved kronisk uritcaria er forløbende redicive og længerevarende. Angioødemet optræder som hævelse. 	Diagnosen er nem at stille, da den er karakteristisk klinisk. Ved enkeltstående tilfælde er der ikke behov for udredning. Afhængig anamnesen suppleres der emd labratorietest. 		Provokerende faktorer bør fjernes, antihistamin, i svære tilfælde systemisk steroidbehandling. 	Forebyggelse sker ved at pt undgår udløsende faktorer. 	God prognose, da de fleste kun vil opleve et eneklt tilfælde. Ved kronisk urticaria kan det væres vsært invaliderende. 	Høj
Atopisk eksem 		Allergiske sygdomme 	Eksem der opstår i barnealderen (børneeksem) og er ofte lokaliseret i albuebøjning og knæhaser. Definitionsmæssigt kræves det, at tre ud af fire kriterier er til stede: kronisk redivicerende eksem, kløe og kradsning, familiær disposition, eksemlokation. 	Ca. 12% af alle 7 årige har eller har haft atopisk eksem. Hos 90% udvikles det før 3-årsalderen. 	IgE-medieret inflammatorisk sygdom i huden. 	Grundlæggende årsag er ikke klarlagt, men påvirkes af en række faktorer: genetiske forhold, miljøfaktor (ofte værre om vinteren), fødevareallergi, lokalirriterende stoffer kan forværre eksem, infektioner. 	Eksem lokaliseret i albuebøjning og knæhaser, på ankler, hals og håndled. Hos 0-2-årige ses symmetrisk eksem på kinder, hals og ved ører. Optræder med varierende sværhedsgrad. 	Udredes ved anamnese. Hvis pt ikke har andre atopiske lidelse udelades hudpriktest, da den i op mod 50% vil være falsk positiv. 	Øget risiko for udvikling af rhinitis og astma. 	Hudpleje iform af vask med mild sæbe, kølige bade, let påklædning, fugtighedscreme og koldt soveværelse. Steroidcreme kan anvendes kortvarigt i svære tilfælde. 	Huspleje og fugtgivning vil virke en smule forebyggende. 	Hos flertallet svinder sygdomme i 7-11 års alderen. Ca. 1/3 vil som voksne udvikle håndeksem. 	Høj
Kontakteksem 		Allergiske sygdomme 	Hudeksem forårsaget af kontakt med hudirriterende eller allergifremkaldende stoffer. 	Årligt vil ca. 10% af befolkningen opleve kontakteksem. 	Kontakt med irriterende kemikalier kan give direkte inflammation. Allergifremkaldende stoffer kan ligeledes på basis af en allergisk reaktion beskadige huden. 	En lang række stoffer kan fremkalde eksem f.eks. Opløsningsmidler, nikkel, latex og gummikemikalier. 	Huden vil blive rød og kløende på de eksponerede steder. I mere kroniske tilfælde vil huden blive mere tør og skællende. 	Diagnose stilles ved hudlappeprøver. 	Eksemet kan brede sig til andre dele af kroppen. 	Behandling indebærer ofte steroidholdige cremer. 	Undgå direkte eksponering af de irriterende eller allergifremkaldende stoffer. 	Den opståede reaktion over for et vist stof må siges at være livsvarig om end tilstanden bringes i ro ved behandling og forebyggelse. 	Ikke pensum
Fødevareallergi 		Allergiske sygdomme 	Defineres som reproducerbare overfølsomhedsreaktioner, der udløses af immunologiske mekanismer. 	Forekomsten følger den allergiske march. Der er betydelig forskel på indiviets selvopfattelse af fødevarealergi og den kliniske påviste allergi. 10-35% mener, at de har fødevareallerig, hvor kun 1-8% påvises. Førevareallergi ses hos 30% af børn med atopisk eksem. 	Udviklingen sker i takt med, at man udsættes for forskellige fødevarer. Det er en immunologisk reaktion på en bestemt fødevare der indeholder et bestemt antigen. 	Hyppige årsager til fødevareallergi er æg, nødder, mælk og fisk. Øget risiko for udvikling, hvis forældre har allergi. 	Typiske symptomer, der ofte er kombineret: mavesmerter, ubehag, oppustethed, diarré eller eksem. Ved særlig udtalt allergisk reaktion kan det udvikle sig til anafylaktisk rekation. 	Diagnose baseres på kostdagbog over 2-4 uger, udredning af symptomer og medicinintagelse. Priktest kan være vejledende. Diæt følges indtil symptomfrihed og der udføres en kontrolleret provokationstest med mistanke om fødevare i stigende mængde. 		Som udgangspunkt skal pt elimineres fra udløsende fødevare, men ved børn er det en god ide at revurdere efter et års tid ved en ny provokation. Diætist kan være fordelagtig. Symptomer behandles symptomatisk. Patienter med alvorlige sytemiske reaktion bør have en adrenalinpen. 	Undgå provokerende fødemidler. 	Børn vokser typisk fra mælke- og ægallergi, men nødder, fisk og skaldyr er typisk vedvarende. 	Mellem
Lægemiddelallergi		Allergiske sygdomme 	En utilsigtet allergisk reaktion over lægemiddel, som derved forårsager symptomer fra ét eller flere organer. 	Formentlig under 1%	Efter eksposition for et lægemiddel kan der udvikles antistoffer af IgE-typen. Ved senere udsættelse for sammen medikament vil den allergiske reaktion forløbe. Ved de ikke-IgE-medierede reaktioner årsagen forskellig. 	Ukendt, men man lægemidler kan forårsager allergiske reaktioner. 	Der ses på huden ef småplettet rødligt udslet enten kløende eller ikke kløende. Hudreaktioner med blæredannelse og afløsning af huden er sjældne og mere alvorlige. 	Undersøgelse for penciliallergi er et typisk eksempel på undersøgelse af allergisk reaktion over for lægemidler. IgE-antistoffer kan påvises få uger efter eksposition og kan måles med RAST-test eller priktest. Provokationstest med indtagelse af lægemiddel kan være nødvednig. Grundig beskrivelse af anamnese, symptomer og reaktion kan også danne grundlag for diagnosen. 		Ophør af det mistænkte lægemiddel. Antihistamin for hudkløe og angioødem samt kortikosteoroid ved sværere tilfælde. 	undgå de mistænkte præparater. 	Pronogsen for ikke-IgE-medieret tilstand er god. Er der tale og verificerede anafylatiske reaktioner kan gentagen brug være livstruende. 	Ikke pensum
Anafylaksi (allergisk shock) 		Allergiske sygdomme 	Generaliseret livstruende allergisk reaktion, der er kraftigere og hurtigere end den normale allergiske reaktion. 	Forekommer årligt hos 200 personer. 	Skyldes en antigen-antistofreaktion der udløser frigørelse af meget aktive substanser fra mastceller, således blodcirkulationen og flere organer ofte hud, luftveje, hjerte, mave-tarm og hjerne bliver påvirket. 	Skyldes en reaktion over for fødevarer, medicin, instektstik eller allergivaccination. 	Tilstanden starter med utilpashed, universel kløe, vejrtrækningsbesvlr og efterfølgende hurtigt indsættende kredsløbskollaps med blodtryksfald, besvimelse og nedsat iltindhold i blodet. 	Klinisk diagnose stillet ud fra de hurtigt udviklende symptomer. 		Adrenalin gives intramuskulært og der sikres frie luftveje samt ilttilførsel. 	Hvis der tidligere har været en voldsom allergisk reaktion overfor bestemt fødevare, lægemiddel eller insekt bør man undgå denne eksposition. Der kan opnås forebyggende effekt ved allergen specifik immunterapi. Have en epipen på sig. 	Anafylaksi kan ende i død, hvis det ikke behandles i tide. 	Mellem
Astma		Lungesygdomme	Astma er en kronisk inflammatorisk tilstand i de nedre luftveje karakteriseret ved hoste og hvæsende eller pibende vejrtrækning. 	Hyppigt forekommende. Ses hos. Ca 200.000-300.000 personer. 	Kendetegnet ved inflammation i de små luftveje, hvorved de glatte muskelceller hurtigere kontraheres end raske lunger. Luftvejene bliver hyperreagerende. 	Ætiologien er multifaktoriel, men især genetisk og eksposition spiller en rolle. Hvis én eller begge forældre har astma og allergi er risikoen for at barnet også får stor. Overvægt især hos børn og kvinder, rygning, fysisk inaktivitet siges også at øge risikoen. Miljøfaktorer såsom partikler, allergener og andre faktorer i luften. 	Typisk ses periodevis piben og hvæsende vejrtrækning, forværrin gom natten og ved anstrengelse eller irritant påvirkning. Hoste og/eller luftvejsinfektion ses hyppigt. Åndenød. 	Diagnosen kan typisk stilles på baggrund af symptomer og anamnese, men udelukkelse af andre sygdomme og sværhedsgraden af astma kræver dog undersøgelse. Lungefunktionen undersøges med spirometri. Sværhedsgraden af lungefunktionsnedsættelse beregnes ud fra FEV. En stig i FEV på >12% efter inhalations af luftvejsudvidense medicin tyder på reversibel luftvejsobstruktion. Peak eksspiratorisk flow (PEF) kan også anvendes til at se den maksimale hastighed af udåndingen og indgå i vurderingen af sværhedsgraden. Tilstedeværelse af allergi undersøges ved hudpriktest eller specifikke antistoffer i blodprøve. 	Forværring af akut astma og risikoen for udvikling af irreversibel nedsat lungefunktio (KOL). Ophobning af sekret og kronisk infektion og senere destruktion af lungevæv. 	Behandlingen bygger på at bremse inflammationen ved astma, ved at give inhalator med binyrebarkhorm. Der behandles samtidig med en brondilatator der anvendes ved behov. Tillægsbehandling er langtidsvirkende bronkidilatator. Derudover kan astmaskole og miljøkontrol hjælpe patienter til at forstå sygdommen.  	Identificere sygdommen tidligt for at undgå nedsat lungefunktion. Når sygdommen er til stede kan man forebygge en del forværringer ved at lufte ud, undgå pelsdyr osv. 	Prognosen er overordnet set god med sygdom i kontrol. Kun 1-2% om året forsvinder spontant. De færreste vil få nedsat lungefunktion, hvis de går til behnadling og undersøgelser. 	Høj
Kronisk obstruktiv lungesygdom (KOL)		Lungesygdomme	KOL er vedvarende luftvejssymptomer og obstruktiv nedsættelse af lungefunktionen (FEV/FVC <70%), som følge af udsættelse for toksiske patikler og gasser. 	Folkesygdom, ca. 400.000 har den. Kvinder udgør en større del af prævalensen. 	Inhalering af skadelig stoffer såsom tobaksrøg, foruerening og biobrændsel fører til kronisk inflammation i lungevævet, hvorved der frigives enzymer, der nedbryder lungevævet. 	De to vigtigste årsager til KOL i DK er rygning og erhverv. 85-90% er forårsaget af rygning. Typisk devuterer de første symptomer efter 25 pakkeår. Erhverv kan skyldes støveksposition, f.eks. Landbrug, korn og foderstofvirksomheder, cementindustri og bomuldsindustri. 	Symptomerne udvikler sig typisk over flere over uden pt rigtig tænker over det. Der ses tiltagende åndenød, hoste, opspyt af slim, hyppige nedre luftvejsinfektioner, vægttab, smerter i brystkassen, træthed, dårlig søvnkvalitet, koncentrationsbesvær, depression, social angst og social isolation. 	KOL bør mistænkes hos alle med åndenød, kronisk hoste og opspyt. For at diagnosen kan stilles skal der påvises ikke fuldt reversibel nedsat lungefunktion (FEV/FVC <70%), hvilket gøres ved spirometri, hvor der gives bronkidilatator. Sværhedsgraden af KOL bestemmes ved FEV og symptombyrden hvor der benyttes CAT-score, der er selvudfyldt. BMI (lavere vægt giver dårlige prognose), røngent af thorax for at udelukke andre årsager. 	Rygning øger risiko for iskæmisk hjerte-kar-sygdom, lungekræft og osteoporose, hvorfor de hyppigt forekommer blandt folk med KOL. Angst og depression ses hos op mod 50% af patienterne. 	Primært formål er at hindre sygdomsprogression, mindske daglige symtpomer og behandle akutte sygdomsforværringer, forbedre funktionsniveau og livskvalitet samt nedsætte mortaliteten. Rygestop, symptomforbedring af åndenød, hoste, opspyt, god ernæring, fysisk træning, behandling af følgesygdomme. 	Tidlig opsporing af KOL, personer der ryger/har røget, ansat i risikoerhverv og har kronisk hoste og/eller opspyt og åndenød. Fastholde og motivere rygestop. 	Prognosen kommer an på sygdomsforløbet, pts egen motivation og sværhedsgraden af KOL. Den tabte lungefunktion kan ikke generhverves, men man kan vha. rygestop stoppe denne acceleration. 30% af KOL-patienterne dør af en rygerelateret hjertesygdom. 	Høj
Sarcoidosis (sarkoidose)		Lungesygdomme	Sarkoidose er en speciel form for betændelse med grupper af specielle kæmpeceller, der lejrer sig rundt om et center. Den kan ramme samtlige af kroppens organger. Inflammation i de involverede organger medfører dannelse af granulomer. 	Ca. 400 nye tilfælde årligt. Ofte debut i 25-40 årsalderen. 	For at udvikle sarkoidose kræves der både et antigen og en genetiske disposition. Især associeret med vævstype HLA-klasse II. 	Ukendt, men meget peger på en infektiøs årsag. 	Debuterer med et akut, subakut eller kronisk forløb. Ved akut ses typisk feber, rødt udslæt på benene, affektion af de store led og forstørrede lymfeknuder. Ved subakut og kronisk kan sygdommen allerede være så fremskreden, at den er irreversibel på de ramte organer, og lungerne er involveret i mere end 90% af tilfældene. Her kan åndenød, hosten, evt. opspyt med blod. Gentagne luftvejsinfektioner. 	Røngent og scanning af lunger, blodprøve med fund af forhøjet ACE tyder på sarkoidose, påvisning af granolomer i ét eller flere organer, biopsi af hud eller lunge, bronkoskopi. 	Sjældent følgesygdomme. Mange rammes af hyperreagerende luftveje, der ligner astma. Nogle har tendens til at udvikle bronkiektasier med øget tendens til slimdannelse og gentagne luftvejsinfektioner. 	Mange behøver ikke behandling og kommer sig spontant inden for et til to år. Ved udtalte symptomer gives glukokortikoid og muligvis anden immundæmpende medicin. I svære tilfælde kan lungetransplantation blive nødvendig. 	Vanskeligt at forebygge, da årsagen ikke er klarlagt. 	Ca. 80% bliver spontant raske. De resterende forløber sygdommen aktivt og fører til organskader og død. 	Ikke pensum
Idiopatisk pulmonal fibrose 		Lungesygdomme	Lungefibrose uden kendt årsag. Irreversibelt progredierende arvævsdannende lungesygdom. 	Ca. 250 nye tilfælde årligt. Mænd rammes i 75% af tilfældene. 67% er rygere eller eks-rygere.  	Ikke klarlagt, men antages at skyldes skade på luftvejsepitelet med efterfølgende abnorm sårhelingsproces. 	Årsagen er ukendt, men formodes at skyldes en kombination af genetisk modtagelighed og udsættelse for luftbårne partikler, herunder tobaksrygning. 	Tiltagende anstrengelsesåndenød og hoste. Mange patienter har trommestiksfingre og urglasnegle. Forløbet kan være præget af influenzalignende episoder, der medfører accelereret tab af lungefunktion. 	Først skal kendte årsager til ILS udelukkes. Undersøgelse af lungefunktion med måling af iltoptagelse, lungevolumen, måling af iltindhold i blodet, gangtest, ekkokardiografi bør udføres, da mange har hypertension. HRCT-scanning af thorax. Evt. biopsi. 	Ses hyppigt med iskæmisk hjertesygdom, refluks, obstruktiv søvnapnø, pulmonal hypertension. 	Lungetransplantation, antifibrotisk behandling med pirfenidon, for at mindske sygdomsprogressionen.	Ikke kendt årsag, vanskeligt at forebygge. Undgå lungetoksiske stoffer såsom tobaksrygning. 	Gennemsnitlig levetid på 3-4 år. Akutte infektioner har en mortalitet op mod 80-90%.	Høj
ulcus- og reflukssygdomme 		Mave-tarm-sygdomme	Dyspepsi er den samlede betegnelse for ubehag i øvre abdomen. Dyspepsi ses ved ulcus (sår) og refluks. Ulcus ses i ventrikel eller duodenum pga. øget syrepårvirkning af slimhinden. Refluks er en tilstand med gentagne sure opstød, smerter og hos nogle øsofagitis (syre-erosioner i slimhinden i spiserøret).	Ca. 10% danskere har daglige gener. Dog vil kun 1/3 have ulcus eller refluksøsofagitis. 	Hvis den beskyttende slimhinde svækkes, er slimhinderne dårlige beskyttet mod syren og der kan opstå sår. Ved refluks påvirkes spiserørets slimhinde, hvorfor der kan opså refluksøsofagitis pga. ætsning. Refluksen skyldes, at lukkemusklen mellem ventrikel og øsofagus ikke lukkes tæt. 	Tidligere var den største årsag mavesårsbakterier, men nu er det mdeikamenter, der forårsager de hyppigste årsager til ulcus f.eks. ASA (blodpropper) eller NSAID. Risikoen for relfuks stiger, hvis lukkesmusklen svækkes, f.eks. Rygning, overvægt, alkohol eller hvis der er øget syreproduktion. 	Svien, trykkende smerte, sure opstød, evt. opkastninger, nedsat appetid, kvalme, lindring ved fødeindtag, halsbrand, blodig opkast, tjærelignende afføring, anæmi. 	Hos lægen stilles diagnosen dyspepsi oftest ud fra anamnese og evt. måling af helicobakterien. Evt. lindring ved medicin. Pt henvises til gastroskopi, hvis der efter medicinsk kur for ulcus/refluks opstår symptomer eller hvis der er anæmi eller cancertegn. 	Akut blødning, perforation (hul gennem alle mave-tarm-væggens lag) hvor surt indhold tømmes i bughulen, sammenvoksning af tarme eller tarmslyng. 	Behandles med PPI, der stopper syredannelsen. Syreneutraliserende stoffer for at undgå gener. Ved akut blødning gives blodtransfusion og gastroskopi, hvor blødning standses. 	Reducere rygning og overvægt. Personer med ulcus- og reflukssygdomme, der skal behandles med ASA eller NSAID skal behandles med PPI profylaktisk. 	Dyspepsi skal typisk i konstant behandling, men øger ikke dødelighed. De fleste patienter bliver helbredt med relevant behandling. 	Mellem
Malarbsorptionssygdomme (nedsat optagelse af nærringsstoffer)		Mave-tarm-sygdomme	Malabsorption er problemer med at fordøje et eller flere elementer af føden. Typen af malabsorption afhænger af, hvilke dele af fordøjelsen der er ramt. 	Dækker over mange forskellige sygdomme og kan derfor ikke angives præcist. 	Der kan ved malabsorption opstå probelmer ved alle tre faser af fordøjelsen: nedbrydning, absorption og fordeling. Problemer med nedbrydning af fødeemner ses ved manglende dannelse af enzymer eller sekret. Nedsat absorption opstår, hvis der er udbredt skade på tyndtarmslimhinden. Fordelingen af fødeemner kan være hæmmet ved dårligt fungerende tarm. 	Genetiske faktorer. 	Symptomerne afhænger af hvad der malabsorberes og sværhedgraden af malabsorptionen. Typisk ses svær diarré, vægttab, perifere ødemer og væske i bughulen, luft i maven, anæmi (mangel på B12 og jern), nedsat koagulationsevne, træthed, generelle mavesmerter. 	Ved mistanke skal anamnese, operationer, familiære forekomster, medicin og fødeintag gennemgås nøje. Blodprøver der evt. kan vise mangel på proteiner, jern eller andre nærringsstoffer. Der kan foretages tyndtarmsbiopsi, laktosebelastning, røngent af tyndtarmspassage, gasto- og koloskopi. 	Kan give mange følgesygdomme og være livstruende, hvis tilstanden ikke behandles, bl.a. infektioner, svær anæmi eller hjertesvigt. 	To behandlinsmetoder: enten at behandle den tilstand, der fremkalder malabsorption, så det ophører eller tilføre de manglende nærringsstoffer. Cølaki og laktosemalabsorption behandles med diæt. 	Forebyggelse er svær, da en del af sygdommene er arvelige. Dog mindsker man stårling på tarmene og ved operation af tarme fjernes mindst muligt. 	Prognosen bestemmes på baggrund af de sygdomme, der fremkalder malabsoprtion. 	Mellem
Inflammatorisk tarmsygdom 		Mave-tarm-sygdomme	Inflammatoriske tamrsygdomme er autoimmune sygdomme, hvor aktivitet i immunsystemet giver perioder med inflammation i større eller mindre dele af mave-tarm-kanalen. De to hyppigste er colitis ulcerosa og mb. Crohns. 	Ca. 25.000 i DK med inflammatorisk tarmsygdomme. 	Ved inflammatoriske tarmsygdomme er der opstået dysregulering af tarmslimhindens immunsystem. 	Årsagen er ikke kendt, men formodes at være en kombination mellem genetiske og miljømæssige faktorer. Genet CARD15/NOD2 giver 40 gange øget risiko for at få Crohns. Hvis man er førstegradsslætning til Crohns, er der 10 gange større risiko og 4 gang til colitis ulcerosa. Hygiejneteorien bygger på, at man ved manglede udsættelse for mikroorganismer i barndommen senere bliver mere præget af de inflammationsfremmende mekanismer. Altså vil der være større risiko for at udvikle inflammatoriske tarmsygdomme, hvis man er vokset op i gode og sanitære omgivelser og omvendt. 	Symtpomerne afhlnger af inflammationens lokalisering, udbredelse og sværhedsgrad. Hyppigst ses blodige diarréer og smertefulde afføringer. Slim og pus fra rectum, træthed, almen sygdomsfølelse og ledsmerter. Evt. feber, vægttab og mavesmerter. Ved Crohns sygdom ses der ofte fistler især i og omkring anus. 	Diagnostiseres ved endoskopiske undersøgelser suppleret af afføringsprøver for at udelukke kronisk infektion f.eks. Med parasitter. Tyndtarmspassagen undersøges med kontrastrøngent, MR-scanning og kapselendoskopi (videokamera, lys og sender i en kapsel). 	Affektion af led, hud, øjne og lever. Ledsmerter og hævede led. Knuderosen i huden. Pyroderma gangreaenosum (smertefuld hudinflammation med nekroser og ulcerationer), ses hos 1 %. Øjne: 1-3%. episkleritis el. uveitis => inflammation i hhv. ydre el. indre lag af øjet.  	Behandles så vidt muligt med medicin, men kirurgi kan også være nødvendigt. Der gives anfalds- og vedligeholdelsesmedicin for at holde sygdomme i ro og forebygge fornyet opblussen i sygdommen. Ved svær colitis ulcerose fjernes tyktarm og der anlægges stomi. Ved Crohns forsøger man færrest mulige indgreb, da det kan ende ud i utallige indgreb. 	Ingen forebyggelse. 	Kroniske og kan ikke helbredes. Efter 10 år med sygdomme vil 25% af colitis ulcerosa og 65% med crohns have gennemgået en operation. 	Mellem
Colon irritable (irritabel tyktarm)		Mave-tarm-sygdomme	En funktional tarmsygdom med mavesmerter, oppustethed, vekslende afføringshyppighed og -konsistens. 	500.000 til 750.000 med symptomer. Ses hyppigere hos kvinder og debuterer ofte hos yngre personer. 	Ukendt 	Ukendt 	Mavesmerter, oppustethed, diarré, forstoppelse, manglende følelse af at være tømt. 	Colon irritable er en udelukkelsesdiagnose der stilles ud fra karakteristika og sygehistorie ved fravær af andre mave-atrm-sygdomme. Blod- og afføringsprøver smat skopiundersøgelser og scanninger til at udelukke andre lidelser som f.eks. laktoseintolerans. Faresignaler som blodig afføring, anæmi, vægttab, feber og nattesved undersøges yderligere. 	Behandlingen skal nedsætte generne og forsikre patienten at de ikke fejler noget trods mange gener. En del har gavn af diæter, fibertilskud og afførende/stoppende midler. 	Sygdommen er oftest kronisk, men optræder cyklisk og bedres med alderen. 			Mellem
Akut appendicitis (akut blindtarmsbetændelse)		Mave-tarm-sygdomme	Akut inflammation og infektion i appendix. 	Årligt opereres ca. 6500 danskere. Ses typisk hos større børn og unge, men kan opstå i alle aldre. 	Stadig uvist, men der sker en aflukning af lumen, hvilket giver slimhindeforandringer og basis for bakteriel invasion. 	Aflukningen af appendix kan være udløst af fiberfattig diæt, mekanisk afklemning ved snogning eller som følge af infektion med virus eller bakterier. 	Præsenterer sig typisk ved mavesmerter omkring navlen, ofte efterfulgt af feber, kvalme og opkastninger. Smerterne bliver efterhånden mere konstante og bevæger sig mod McBurneys punkt. Forværres ved bevægelse og tryk på abdomen. 	Akut appendicitis diagnostiseres udfra sygehistorie, symptomer og kliniske fund. Der tages blod- og urinpræve for at udelukke andre diagnoser. Ved megen tvivl kan ultralyd eller CT-scanning komme på tale. 	Sårinfektion, intra abdominal absces eller tarmslyng. Ingen kendte følger ved ikke at have sin blindtarm. 	Akut operation, hvor appendix fjernes ved kikkertoperation. Gives typisk antibiotika i den forbindelse. 		God prognose. 	Mellem
Diarré		Mave-tarm-sygdomme	Diarré defineres som afføringsmængde over de normal 200-250 gram pr. døgn, men de fleste bruger diarré som hyppige, tynde afføringer med et større volumen end normalt. Akut og kronisk diarré, sidstnævnte er mere end tre løøse afføringer pr. døgn i over fire uger. 	Ca. 250.000 danskere har kronisk diarré. 	Forårsages af en lang række forskellige mekanismer, ofte i samspil. De forskellige mekanismer er f.ek.s ændringer i tarmens væskesekretion- og absorption, ændringer i mængden af brugbar tarm, ændringer i tarmens bevægelser og endelige funktionelle tilstande, hvor der ikke påvises nogen diarréfremkaldende mekanisme. 	Der er mange årsager til diarré, de akutte er typisk fremkaldt af et infektiøst agens (bakterier, parasitter, virus). Der er talrige tilstande som kan medføre kronisk diarré. 	Hovedsymptomet er hyppige og tynde afføringer. Kan være sandfarvet, grøn, sort, fedtet, blodig, slimet eller med pus. Andre symptomer kan også forekomme alt efter diarréns årsag. 	Anamnesen er rigtig vigtig for at afklare, hvilke tilstande der kunne ligge bag ved diarréen. Her skal oplysninger om diarréens udseende, varighed, mavesmerter, vægttab, feber, rejser, medicin, fødevarer osv. indgå. Yderligere tages der blodprøver for væskebalance, infektioner, levertal og blodprocent.  	Ofte ledsaget af væskemangel. Kronisk diarré fører typisk til malabsorption og de deraf følgende symptomer. 	Den akutte diarré er typisk infektioøs og behøver ikke behandling. Dog skal der indtages rigeligt væske og salt. Den kroniske diarré behandles ved at behandle den udløsende årsag. Hvis ikke det er muligt behandles det symptomatisk med midler der tykner afføringen eller sænker tarmbevægelserne og derved nedsætter antallet af afføringer. 	Den akutte diarré kan typisk forebygges ved god hygiejne. Død pga. diarré forebygges ved at opretholde sin væskebalance. 	Akut diarré behandles typisk hurtiggt. Kronisk diarré kommer an på den udløsende årsag, men de fleste slipper efter et par år. 	Mellem
Hepatitis A, B og C (smitsom leverbetændelse A, B og C)		Mave-tarm-sygdomme	Hepatitis er betændelse i leveren. Inddeles i tre forskellige virale infektioner, som har til fælles, at det er leveren som rammes hårdest af infektion. Akut (A og B). Kronisk C. 	A: Ca. 100-200 tilfælde årligt. B: Ca. 200 tilfælde årligt. C: Ikke klarlagt, prævalens ca. 21.000. 	Virussen trænger ind i levercellerne, hvorefter de virusinficerede celler går til grunde ved apoptose fremkaldt af immunsystemet. Ved akut hepatitis går der så mange leverceller til grunde, at leveren ikke længere kan varetage sin funktion og fører til leversvigt. Dette ses sjældent. Ved kronisk hepatitis medføres der dannelse af fibrose. Den sværeste form for fibrose er cirrose (skrumpelever). 	A er et RNA-virus og findes især i fæsces og smitter typisk fra afføring til mund. Virussen er selvimiterende og der dannes antistoffer, som livslangt beskytter mod ny smitte. B er et DNA-virus, der findes i kropsvæsker (især i blodog sårvæsker) og smitter derfor typisk fra mor til barn eller seksuelt. C er et RNA-virus der især er i bllodet, hvorfor den typisk smitter gennem stiknarkomani eller dårlig hygiejne med nåle og urent udstyr. 	A er ofte uden symptomer, men ved symptomatisk sygdom ses madlede, kvalme, feber, mavesmerter og træthed, gulsot. B er ofte uden symptomer også, men symptomer ses især hos voksne: kvalme, madlede, muskelsmerter og let feber. C sjældent symptomer før den bliver kronisk. Ved kronisk B og C ses cirrose og symptomer svarende hertil. 	Diagnostiseres ud fra symptomer og relevant eksponering. Blodprøve kan eftervise antistoffer. 	A og B kan i sjældne tilfælde føre til akut levervsigt, hvilket medfører levertransplantation eller død. B og C medfører ofte fibrosedannelse og mange år med kronisk hepatitits fører til cirrose (skrumpelever) og leverkræft. 	A, ingen behandling, men symptomerne forsøges afhjulpet indtil kroppen selv bekæmper virussen. B: ingen behandling kan fjerne virus, men man kan forsøge at begænse følgesygdommene med virushæmmende midler. C kan helbredes ved antiviralmidler, der består af en kur på 8-12 uger. Lveren er i stand til at regenerere sig selv efter afsluttet behandling. 	A forebygges med god hygiejne samt vaccine. B og C forebygges ved god hygiejne i sundhedssektoren, test af blod og beskyttet sex eller vaccine for B. 	A er selvimiterende, men typisk følger træthed og nedsat arbejdsevne i et par måneder. Der findes ingen danske tal for prognosne, men på verdensplan dør 0,5-1 mio. mennesker om året som følge af hepatitis B, hvilket skyldes levercirrose og cancer. 15-30% dør af C over 20 år, hvis der ikke behandles. 	Ikke pensum
